Attribute,Group,Outcome,Count,Actual positives,Actual negatives,Predicted positives,TP,FN,FP,TN,Observed outcome rate,Selection rate,Selection low,Selection high,TPR,TPR low,TPR high,FPR,FPR low,FPR high,FNR,Precision,Group accuracy,Group macro F1,Small group,Sparse outcome support
Tuition fees up to date,1,Graduate,775,434,341,431,366,68,65,276,0.56,0.5561290322580645,0.5209573293321732,0.5907470274972515,0.8433179723502304,0.806123852780953,0.8744875829528832,0.1906158357771261,0.15246191461201158,0.23566295199340953,0.15668202764976957,0.8491879350348028,0.7406451612903225,0.6888435172394672,False,False
Gender × Age,Gender 0 / 20–24,Dropout,168,31,137,24,20,11,4,133,0.18452380952380953,0.14285714285714285,0.09791534368002103,0.20376713599893914,0.6451612903225806,0.469476380428149,0.7888355225843418,0.029197080291970802,0.011411340550450556,0.07266609111746575,0.3548387096774194,0.8333333333333334,0.7916666666666666,0.7476481230212574,False,False
Gender × Age,Gender 0 / 20–24,Enrolled,168,34,134,46,26,8,20,114,0.20238095238095238,0.27380952380952384,0.21200294886364407,0.3457292882663641,0.7647058823529411,0.6000353719173557,0.8756316189075566,0.14925373134328357,0.09874323684475009,0.21931459185137644,0.23529411764705882,0.5652173913043478,0.7916666666666666,0.7476481230212574,False,False
Gender × Age,Gender 0 / 20–24,Graduate,168,103,65,98,87,16,11,54,0.6130952380952381,0.5833333333333334,0.5077337368021919,0.6552070179393841,0.8446601941747572,0.7624725635913214,0.9020625987424511,0.16923076923076924,0.09721118666132769,0.27816649195160403,0.1553398058252427,0.8877551020408163,0.7916666666666666,0.7476481230212574,False,False
Gender × Age,Gender 0 / 25–34,Dropout,87,43,44,39,36,7,3,41,0.4942528735632184,0.4482758620689655,0.348170047270701,0.552756400524142,0.8372093023255814,0.7002730466408176,0.9188347549714246,0.06818181818181818,0.023458970172840127,0.1822532133661719,0.16279069767441862,0.9230769230769231,0.7931034482758621,0.7521649652586752,False,False
Gender × Age,Gender 0 / 25–34,Enrolled,87,16,71,19,10,6,9,62,0.1839080459770115,0.21839080459770116,0.14450701870548616,0.31609253039976964,0.625,0.3864064709793481,0.815190174452472,0.1267605633802817,0.0681445057945265,0.22369318874968427,0.375,0.5263157894736842,0.7931034482758621,0.7521649652586752,False,False
Gender × Age,Gender 0 / 25–34,Graduate,87,28,59,29,23,5,6,53,0.3218390804597701,0.3333333333333333,0.2431846311443509,0.4375783673056985,0.8214285714285714,0.644082084514089,0.9212161417056989,0.1016949152542373,0.047447326513182495,0.2046404624673654,0.17857142857142858,0.7931034482758621,0.7931034482758621,0.7521649652586752,False,False
Gender × Age,Gender 0 / 35+,Dropout,45,16,29,15,13,3,2,27,0.35555555555555557,0.3333333333333333,0.21358692207276764,0.479297831907446,0.8125,0.5699064013154177,0.9340852122641324,0.06896551724137931,0.019120864097994433,0.21964947595851925,0.1875,0.8666666666666667,0.7111111111111111,0.6511852052649016,False,False
Gender × Age,Gender 0 / 35+,Enrolled,45,8,37,9,3,5,6,31,0.17777777777777778,0.2,0.10896004402509006,0.3382325131392944,0.375,0.13684175946152105,0.6942621454161981,0.16216216216216217,0.07651103235297099,0.31136799295455864,0.625,0.3333333333333333,0.7111111111111111,0.6511852052649016,False,True
Gender × Age,Gender 0 / 35+,Graduate,45,21,24,21,16,5,5,19,0.4666666666666667,0.4666666666666667,0.3293490394201473,0.6092279113758954,0.7619047619047619,0.5490841802765406,0.8937214361088773,0.20833333333333334,0.0924468910478809,0.40470844485235474,0.23809523809523808,0.7619047619047619,0.7111111111111111,0.6511852052649016,False,False
Gender × Age,Gender 0 / Under 20,Dropout,271,44,227,32,25,19,7,220,0.16236162361623616,0.11808118081180811,0.08489560547313352,0.1619433010097279,0.5681818181818182,0.42223890740554393,0.7031749583514542,0.030837004405286344,0.015015980593992395,0.06227338146206682,0.4318181818181818,0.78125,0.7785977859778598,0.6730413504209697,False,False
Gender × Age,Gender 0 / Under 20,Enrolled,271,38,233,52,22,16,30,203,0.14022140221402213,0.1918819188191882,0.14943454737836562,0.24294273466336322,0.5789473684210527,0.42192070613127325,0.7214772518818047,0.12875536480686695,0.09169809784869817,0.17785589942205152,0.42105263157894735,0.4230769230769231,0.7785977859778598,0.6730413504209697,False,False
Gender × Age,Gender 0 / Under 20,Graduate,271,189,82,187,164,25,23,59,0.6974169741697417,0.6900369003690037,0.6326390102874181,0.7421223067766655,0.8677248677248677,0.8120241674472897,0.9087746643400425,0.2804878048780488,0.19477015056503783,0.3858527641988995,0.13227513227513227,0.8770053475935828,0.7785977859778598,0.6730413504209697,False,False
Gender × Age,Gender 1 / 20–24,Dropout,106,48,58,38,34,14,4,54,0.4528301886792453,0.3584905660377358,0.27361966173474206,0.4532597719224515,0.7083333333333334,0.5682047226383246,0.8175858393813663,0.06896551724137931,0.027143807598168326,0.16433894834605045,0.2916666666666667,0.8947368421052632,0.660377358490566,0.650039321424559,False,False
